REFNO	NAME	NAMEORDER
10100	Usui E	18
10101	Drechsler M	15
10101	Haas R	14
10101	Herold C	12
10101	Hildebrandt B	10
10101	Kronenwett R	13
10101	Redmann A	11
10101	Royer-Pokora B	9
10101	Wieland C	16
10102	Baretton G	19
10102	Bornhauser M	18
10102	Ehninger G	20
10102	Friedrich K	12
10102	Hanel M	13
10102	Kroschinsky F	11
10102	Langer T	15
10102	Meinhardt M	16
10102	Mohr B	14
10102	Thiede C	17
10103	Berger R	1
10103	Busson M	2
10104	Berrebi A	11
10104	Resnitzky P	12
10104	Shaft D	8
10104	Shtalrid M	10
10104	Shvidel L	7
10104	Stark B	9
10105	Abruzzo LV	5
10105	Chen A	4
10105	Eskenazi ae	6
10105	Everly EM	2
10105	Frantz C	7
10105	Padilla-Nash HM	3
10105	Ried T	8
10105	Stamberg J	9
10105	Toretsky JA	1
10106	Ehninger G	13
10106	Illmer T	12
10106	Schaich M	10
10106	Schakel U	11
10106	Steudel C	8
10106	Thiede C	14
10106	Wermke M	9
10107	Aplan PD	10
10107	Chervinsky DS	7
10107	Deveney R	6
10107	Grossi M	9
10107	Jani-Sait SN	8
10108	Cho HI	22
10108	Jeong SS	16
10108	Kim Y	21
10108	Kim Y-R	15
10108	Lee DS	12
10108	Lee YK	17
10108	Lee Y-S	13
10108	She CJ	18
10108	Shin HR	20
10108	Yoon SS	19
10108	Yun Y-S	14
10109	Boccon-Gibod L	2
10109	Bouvier R	3
10109	Couturier J	8
10109	Doz F	4
10109	Fournet J-C	5
10109	Freneaux P	6
10109	Perot C	1
10109	Vieillefond A	7
1010	Barbata G	2
1010	Carbone P	1
1010	Granata G	6
1010	Leone S	5
1010	Marceno R	4
1010	Mirto S	3
10110	De Paepe A	25
10110	Forsyth R	23
10110	Gyselinck J	21
10110	Messiaen L	17
10110	Michiels E	22
10110	Mortele K	20
10110	Sciot R	19
10110	Speleman F	26
10110	Van Belle S	18
10110	Vandesompele J	16
10110	Van Gele M	15
10110	Van Marck E	24
10110	Van Roy N	14
10111	Aranguren PN	7
10111	Cuello MT	6
10111	Gargallo PM	5
10111	Larripa IB	8
10112	Cook JR	1
10112	Shekhter-Levin S	3
10112	Sherer ME	2
10112	Swerdlow SH	4
10113	Fadl-Elmula I	5
10113	Gorunova L	6
10113	Heim S	8
10113	Mandahl N	7
10114	Al-Obaidi MJ	15
10114	Harewood L	12
10114	Harrison CJ	22
10114	Harris R	14
10114	Jalali GR	16
10114	Martineau M	17
10114	Mitchell C	21
10114	Moorman AV	18
10114	Richards S	20
10114	Robinson H	13
10114	Sumption N	19
10115	Basso K	10
10115	D'Amore ES	12
10115	Lombardi A	13
10115	Luzzatto L	14
10115	Mussolin L	9
10115	Pillon M	11
10115	Rosolen A	16
10115	Zanesco L	15
10116	Bottino D	2
10116	Di Cataldo A	7
10116	Mirabile E	5
10116	Morerio C	4
10116	Nigro LL	1
10116	Panarello C	3
10116	Rapella AM	6
10116	Schiliro G	8
10117	Abgrall J-F	6
10117	Berthou C	7
10117	De Braekeleer M	8
10117	Herry A	3
10117	Le Bris M-J	2
10117	Le Calvez G	4
10117	Marion V	5
10117	Morel F	1
10118	Bastard C	7
10118	Callat MP	8
10118	Hazard E	6
10118	Schneider P	9
10118	Vannier J-P	10
10119	Cortes J	24
